match_id,team1,team2,winner,player_of_match,venue,runs_team1,runs_team2,wickets_team1,wickets_team2,year
1,USA,CAD,USA,Aaron Jones,"Grand Prairie Stadium",194,197,5,3,2024
2,WI,PAPUA,WI,RL Chase,"Providence Stadium, Guyana",136,137,8,5,2024
3,NAM,OMAN,NAM,D Wiese,"Kensington Oval, Bridgetown, Barbados",109,109,10,6,2024
4,SL,SA,SA,A Nortje,"Nassau County International Cricket Stadium, New York",77,80,10,4,2024
5,AFG,UGA,AFG,Fazalhaq Farooqi,"Providence Stadium, Guyana",183,58,5,10,2024
6,ENG,SCO,NO RESULT,MATCH NOT PLAYED,"Kensington Oval, Bridgetown, Barbados",90,MATCH NOT PLAYED,MATCH NOT PLAYED,MATCH NOT PLAYED,2024
7,NED,NEP,NED,TJG Pringle,"Grand Prairie Stadium, Dallas",106,109,10,4,2024
8,IND,IRE,IND,JJ Bumrah,"Nassau County International Cricket Stadium, New York",96,97,10,2,2024
9,PAPUA,UGA,UGA,Riazata Ali Shah,"Providence Stadium, Guyana",77,78,10,5,2024
10,AUS,OMAN,AUS,MP Stoinis,"Kensington Oval, Bridgetown, Barbados",164,125,5,9,2024
11,USA,PAK,USA,MD Patel,"Grand Prairie Stadium, Dallas",159,159,7,5,2024
12,NAM,SCO,SCO,MA Leask,"Grand Prairie Stadium, Dallas",155,157,9,5,2024
13,CAD,IRE,CAD,NR Kirton,"Grand Prairie Stadium, Dallas",137,125,7,7,2024
14,NZ,AFG,AFG,Rahmanullah Gurbaz,"Grand Prairie Stadium, Dallas",159,75,6,10,2024
15,SL,BAN,BAN,Rishad Hossain,"Grand Prairie Stadium, Dallas",124,125,9,8,2024
16,NED,SA,SA,DA Miller,"Nassau County International Cricket Stadium, New York",103,106,9,6,2024
17,AUS,ENG,AUS,A Zampa,"Kensington Oval, Bridgetown, Barbados",201,165,7,6,2024
18,WI,UGA,WI,AJ Hosein,"Providence Stadium, Guyana",173,39,5,10,2024
19,IND,PAK,IND,JJ Bumrah,"Nassau County International Cricket Stadium, New York",119,113,10,7,2024
20,OMAN,SCO,SCO,BJ McMullen,"St Vivian Richards Stadium, North Sound, Antigua",150,153,7,3,2024
21,SA,BAN,SA,H Klaasen,"Nassau County International Cricket Stadium, New York",113,109,6,7,2024
22,PAK,CAN,PAK,Mohammad Amir,"Nassau County International Cricket Stadium, New York",106,107,7,3,2024
23,SL,NEP,NO RESULT,MATCH NOT PLAYED,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",MATCH NOT PLAYED,MATCH NOT PLAYED,MATCH NOT PLAYED,MATCH NOT PLAYED,2024
24,AUS,NAM,AUS,A Zampa,"St Vivian Richards Stadium, North Sound, Antigua",72,74,10,1,2024
25,USA,IND,IND,Arshdeep Singh,"Nassau County International Cricket Stadium, New York",110,113,8,3,2024
26,WI,NZ,WI,SE Rutherford,"Brian Lara Stadium, Tarouba, Trinidad",149,136,9,5,2024
27,BAN,NED,BAN,Shakib Al Hasan,"Arnos Vale Ground, Kingstown, St Vincent",159,134,5,8,2024
28,ENG,OMAN,ENG,AU Rashid,"Providence Stadium, Guyana",47,50,10,2,2024
29,AFG,UGA,AFG,Fazalhaq Farooqi,"Kensington Oval, Bridgetown, Barbados",95,101,10,3,2024
30,USA,IRE,NO RESULT,MATCH NOT PLAYED,"Nassau County International Cricket Stadium, New York",MATCH NOT PLAYED,MATCH NOT PLAYED,MATCH NOT PLAYED,MATCH NOT PLAYED,2024
31,SA,NEP,SA,T Shamsi,"Providence Stadium, Guyana",115,114,7,7,2024
32,NZ,UGA,NZ,TG Southee,"Kensington Oval, Bridgetown, Barbados",40,41,10,1,2024
33,IND,CAN,NO RESULT,MATCH NOT PLAYED,"Grand Prairie Stadium, Dallas",MATCH NOT PLAYED,MATCH NOT PLAYED,MATCH NOT PLAYED,MATCH NOT PLAYED,2024
34,NAM,ENG,ENG,HC Brook,"Nassau County International Cricket Stadium, New York",112,84,5,3,2024
35,AUS,SCO,AUS,MP Stoinis,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",180,186,5,7,2024
36,IRE,PAK,PAK,Shaheen Shah Afridi,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",106,111,9,7,2024
37,BAN,NEP,BAN,Tanzim Hasan Sakib,"Arnos Vale Ground, Kingstown, St Vincent",106,85,10,10,2024
38,SL,NED,SL,KIC Asalanka,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",201,118,6,10,2024
39,NZ,PAPUA,NZ,LH Ferguson,"Brian Lara Stadium, Tarouba, Trinidad",78,79,10,3,2024
40,AFG,WI,WI,N Pooran,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",218,114,5,10,2024
41,SA,ENG,SA,Q de Kock,"St Vivian Richards Stadium, North Sound, Antigua",194,176,4,6,2024
42,WI,AFG,ENG,PD Salt,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",180,181,4,2,2024
43,IND,BAN,IND,SA Yadav,"Kensington Oval, Bridgetown, Barbados",181,134,8,10,2024
44,AUS,SA,AUS,PJ Cummins,"St Vivian Richards Stadium, North Sound, Antigua",140,100,8,10,2024
45,ENG,WI,SA,Q de Kock,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",163,156,6,6,2024
46,WI,IND,IND,RL Chase,"Kensington Oval, Bridgetown, Barbados",128,130,10,8,2024
47,IND,SA,IND,H Pandya,"St Vivian Richards Stadium, North Sound, Antigua",196,146,5,8,2024
48,AFG,AUS,AFG,Gulbadin Naib,"Arnos Vale Ground, Kingstown, St Vincent",148,127,6,10,2024
49,USA,ENG,ENG,AU Rashid,"Kensington Oval, Bridgetown, Barbados",115,117,10,7,2024
50,SA,IND,SA,T Shamsi,"St Vivian Richards Stadium, North Sound, Antigua",135,124,8,6,2024
51,WI,IND,IND,RG Sharma,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",205,181,5,7,2024
52,AFG,BAN,AFG,Naveen-ul-Haq,"Arnos Vale Ground, Kingstown, St Vincent",115,105,5,10,2024
53,AFG,SA,SA,M Jansen,"Brian Lara Stadium, Tarouba, Trinidad",56,60,10,10,2024
54,ENG,IND,IND,AR Patel,"Providence Stadium, Guyana",171,103,7,10,2024
55,SA,IND,IND,V Kohli,"Kensington Oval, Bridgetown, Barbados",176,169,7,8,2024
